ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,T2MDEW,TS,WS10M,PRECTOTCORR,RH2M,SoilMoistureIndex,Date
1.89,0.41,306.23,4.76,8.37,5.13,3.61,80.38,0.04361486382451179,2013-01-03
2.76,0.59,283.14,4.98,8.75,5.49,0.51,79.94,0.005878755041001876,2013-01-04
2.97,0.63,283.28,5.41,8.37,4.77,0.28,82.25,0.003380451396375398,2013-01-05
3.11,0.66,281.09,5.57,8.44,3.62,0.01,81.56,0.00011988834348161049,2013-01-06
3.36,0.71,274.98,2.9,8.76,3.24,0.0,68.75,0.0,2013-01-07
3.26,0.69,271.01,4.66,7.72,2.86,0.0,77.38,0.0,2013-01-08
3.5,0.73,265.1,-0.15,8.65,2.94,0.0,55.38,0.0,2013-01-09
3.27,0.68,272.88,-0.45,8.94,3.2,0.0,51.06,0.0,2013-01-10
3.17,0.66,281.28,4.72,9.02,3.42,0.08,74.0,0.0008997869629889105,2013-01-11
3.23,0.66,288.29,4.26,8.86,3.72,0.06,74.69,0.000686673671378013,2013-01-12
3.47,0.71,274.06,2.67,8.49,4.85,0.0,68.81,0.0,2013-01-13
2.67,0.55,298.3,1.19,7.44,2.89,1.1,66.94,0.015049899222332583,2013-01-14
3.3,0.66,279.05,-0.25,7.15,5.14,0.57,63.56,0.008109010909313359,2013-01-15
2.74,0.55,299.62,0.77,8.65,6.83,0.09,59.5,0.0010592177472244502,2013-01-16
2.11,0.42,309.62,3.72,8.7,5.77,0.37,70.69,0.004341023117819282,2013-01-17
1.53,0.3,326.6,4.49,9.26,4.91,0.66,73.25,0.00727023853551654,2013-01-18
2.79,0.55,324.18,7.03,12.36,6.51,0.0,71.19,0.0,2013-01-19
1.42,0.27,324.84,3.76,9.29,4.93,1.55,67.0,0.01709736140813189,2013-01-20
3.0,0.58,291.05,1.82,9.03,6.14,0.02,63.81,0.0002261099926190668,2013-01-21
3.69,0.7,268.86,0.16,7.41,4.68,0.02,65.5,0.0002746427804298856,2013-01-22
3.4,0.65,279.81,-1.97,7.09,7.29,0.03,54.19,0.0004312728222750397,2013-01-23
2.68,0.51,292.09,-0.42,7.08,8.77,0.09,60.56,0.0012971290210999653,2013-01-24
2.46,0.46,298.7,0.18,7.02,7.95,0.52,62.25,0.0075636998427725055,2013-01-25
2.91,0.54,286.08,-2.17,5.98,4.16,0.22,63.0,0.003748355010989318,2013-01-26
2.81,0.52,291.33,1.52,6.34,4.48,0.14,72.5,0.0022426674052067543,2013-01-27
2.1,0.38,307.78,2.56,8.56,8.7,2.91,66.81,0.034563378141696015,2013-01-28
2.81,0.51,302.89,3.84,8.41,9.58,0.41,73.81,0.004938014693613421,2013-01-29
4.2,0.75,264.46,-3.53,8.76,3.45,0.01,49.06,0.00011537898910976621,2013-01-30
3.78,0.67,284.69,-0.0,10.4,5.24,0.0,50.88,0.0,2013-01-31
4.27,0.75,286.69,1.32,12.01,5.23,0.0,52.88,0.0,2013-02-01
4.27,0.74,284.47,-1.47,12.51,7.28,0.09,41.5,0.000734221275527141,2013-02-02
2.75,0.48,290.48,-0.13,6.4,4.81,0.62,65.88,0.009865705606634568,2013-02-03
3.39,0.58,300.45,1.86,6.75,6.56,1.74,73.88,0.026131644370168256,2013-02-04
3.68,0.62,290.01,1.98,8.95,4.97,0.22,65.44,0.002491076475596848,2013-02-05
4.11,0.69,289.84,-0.89,10.15,5.59,1.18,51.56,0.011848078535308611,2013-02-06
3.49,0.58,276.21,-0.7,5.22,6.85,0.36,67.12,0.007037297677691766,2013-02-07
3.37,0.55,288.12,-3.27,5.55,6.49,0.27,54.44,0.004951788927872055,2013-02-08
3.66,0.6,292.34,-1.45,5.98,3.76,1.15,61.88,0.019566272297030757,2013-02-09
4.55,0.73,258.58,-2.6,5.68,5.2,0.02,60.31,0.00035735051259966485,2013-02-10
3.08,0.49,286.1,-6.52,6.58,8.81,0.03,40.19,0.0004643140201181089,2013-02-11
3.39,0.54,291.25,-2.2,5.66,5.08,0.41,58.44,0.007393189005750169,2013-02-12
2.98,0.47,295.67,0.54,5.39,5.2,1.61,72.12,0.030408567216494146,2013-02-13
3.61,0.56,284.06,-0.62,5.43,5.8,0.17,69.19,0.0031806040955540166,2013-02-14
4.41,0.68,278.24,1.26,7.99,3.98,0.01,68.38,0.0001269332536370267,2013-02-15
4.66,0.71,274.03,2.13,10.01,2.93,0.01,61.44,0.00010139660352495731,2013-02-16
4.57,0.7,285.24,0.95,9.87,3.16,0.0,61.56,0.0,2013-02-17
2.89,0.44,308.19,-1.92,9.29,3.9,0.0,47.25,0.0,2013-02-18
3.87,0.58,308.06,4.48,10.12,2.85,0.02,72.81,0.000201086724580904,2013-02-19
1.75,0.26,328.77,7.48,11.07,6.35,0.71,83.31,0.0065456456803770135,2013-02-20
2.76,0.41,314.91,4.31,11.08,7.9,0.6,66.75,0.005526827036965655,2013-02-21
4.21,0.61,305.35,4.08,12.52,6.06,0.32,60.88,0.0026071220384890374,2013-02-22
4.25,0.61,315.04,2.64,13.42,6.59,0.15,51.81,0.0011423908442380816,2013-02-23
2.44,0.35,315.83,0.09,8.48,4.09,0.52,60.81,0.006248767237975361,2013-02-24
3.64,0.52,292.54,-3.49,6.33,3.8,0.05,54.62,0.0008035451877571682,2013-02-25
4.5,0.63,274.82,-4.02,6.19,2.75,0.02,54.12,0.0003281278124807704,2013-02-26
4.97,0.69,267.53,-1.1,6.49,3.01,0.01,66.88,0.00015621444906843183,2013-02-27
1.79,0.25,324.1,5.51,9.03,5.94,0.8,81.81,0.009008325966579005,2013-02-28
2.4,0.33,323.97,4.83,12.32,5.58,1.98,67.88,0.016409671887325398,2013-03-01
4.28,0.58,298.58,2.18,9.65,4.73,0.2,65.69,0.002112198070314963,2013-03-02
4.56,0.61,304.9,4.98,11.56,3.67,0.25,70.75,0.0021962707171885474,2013-03-03
4.85,0.64,306.5,5.87,11.72,3.55,0.12,74.56,0.001040139874878197,2013-03-04
2.45,0.32,343.25,8.13,12.55,5.75,1.15,78.56,0.009333362298206664,2013-03-05
3.95,0.52,358.47,6.91,16.22,5.27,0.13,58.88,0.0008191167198419283,2013-03-06
5.07,0.66,327.91,6.48,17.44,4.13,0.0,54.12,0.0,2013-03-07
5.06,0.65,341.08,7.05,18.19,4.46,0.55,53.0,0.0030791008034699407,2013-03-08
3.97,0.51,344.94,5.89,18.35,4.95,0.05,48.38,0.00027759272249128474,2013-03-09
5.05,0.64,340.55,9.11,17.74,2.62,0.82,65.12,0.004713466544452729,2013-03-10
5.34,0.67,326.46,5.3,16.21,3.3,4.64,57.75,0.029197836820931505,2013-03-11
4.9,0.61,315.98,1.69,13.48,5.54,0.05,50.69,0.00037841088023960145,2013-03-12
2.46,0.3,337.61,5.88,13.08,7.05,6.0,62.12,0.04698909233753683,2013-03-13
4.82,0.59,287.4,-1.22,8.58,8.16,0.49,53.5,0.005843040590828275,2013-03-14
4.98,0.6,286.22,-0.76,7.87,6.37,0.49,59.88,0.006339065049770494,2013-03-15
6.25,0.76,270.94,-1.9,9.56,3.77,0.02,57.06,0.00021225146715552617,2013-03-16
4.27,0.51,331.7,-1.95,12.5,5.98,0.0,37.75,0.0,2013-03-17
5.24,0.62,332.26,-0.74,17.09,3.86,0.01,34.5,5.973901812284853e-05,2013-03-18
5.41,0.64,320.21,7.19,16.06,3.19,0.0,64.81,0.0,2013-03-19
4.83,0.56,347.88,5.86,17.13,4.27,3.21,53.5,0.0191334411264553,2013-03-20
6.64,0.77,289.28,1.65,14.33,5.79,0.07,49.38,0.0004960332165596191,2013-03-21
6.48,0.75,294.48,-1.67,15.05,5.56,0.0,34.69,0.0,2013-03-22
6.0,0.69,319.77,-1.01,17.4,4.54,0.0,32.5,0.0,2013-03-23
5.2,0.59,330.99,0.05,17.1,4.51,1.2,37.38,0.007191903526794834,2013-03-24
4.91,0.55,319.05,3.01,13.3,5.63,1.22,54.06,0.009360622373503822,2013-03-25
6.36,0.72,310.31,3.35,16.65,3.33,0.0,47.38,0.0,2013-03-26
4.96,0.55,349.26,5.55,16.53,3.37,0.0,54.81,0.0,2013-03-27
5.43,0.6,341.23,6.79,17.59,3.73,0.0,56.94,0.0,2013-03-28
6.25,0.69,321.7,6.73,17.76,6.16,0.0,55.81,0.0,2013-03-29
4.61,0.51,347.64,7.65,18.02,4.81,0.17,56.44,0.0009615485251352301,2013-03-30
5.89,0.64,322.02,2.97,17.05,4.26,0.0,47.5,0.0,2013-03-31
5.22,0.56,359.49,7.31,18.61,5.3,1.39,50.88,0.007629879569002801,2013-04-01
5.14,0.55,325.35,4.6,15.9,4.45,2.23,57.38,0.014311384931331021,2013-04-02
6.88,0.73,303.58,-0.36,15.94,4.26,0.0,41.44,0.0,2013-04-03
5.92,0.63,326.96,-1.98,18.07,6.62,0.0,30.75,0.0,2013-04-04
6.36,0.67,328.99,4.06,17.33,4.34,0.0,51.62,0.0,2013-04-05
3.69,0.39,333.12,6.55,14.46,5.62,4.35,69.38,0.03072733571583847,2013-04-06
6.06,0.63,304.38,1.89,11.51,6.87,0.2,58.69,0.0017685751517415825,2013-04-07
6.81,0.71,307.57,-0.65,14.14,5.51,0.0,46.69,0.0,2013-04-08
6.64,0.69,329.04,-0.95,18.98,3.83,0.0,31.19,0.0,2013-04-09
6.12,0.63,344.45,3.74,19.19,2.97,0.03,42.31,0.00015882058889916598,2013-04-10
7.09,0.73,324.7,4.58,19.29,3.08,0.0,47.69,0.0,2013-04-11
6.74,0.69,349.34,4.69,23.05,2.48,0.0,37.31,0.0,2013-04-12
6.88,0.7,333.6,6.89,21.8,4.44,0.03,47.5,0.00013951096443223202,2013-04-13
6.71,0.68,331.77,3.98,20.36,6.05,0.0,41.62,0.0,2013-04-14
6.23,0.62,332.2,6.51,18.46,4.41,0.0,53.31,0.0,2013-04-15
6.73,0.67,329.79,4.04,18.95,2.93,0.0,45.38,0.0,2013-04-16
6.7,0.66,337.52,2.43,20.29,2.66,0.0,35.75,0.0,2013-04-17
7.33,0.73,327.25,2.89,20.33,2.77,0.0,37.62,0.0,2013-04-18
7.51,0.74,328.68,1.34,21.24,2.37,0.0,32.81,0.0,2013-04-19
6.25,0.61,349.5,4.96,21.76,3.07,2.11,42.44,0.009849052623766627,2013-04-20
5.96,0.59,344.9,7.31,18.61,5.17,0.17,60.0,0.0009284156191727356,2013-04-21
5.76,0.56,334.27,4.67,14.03,6.47,0.1,59.12,0.0007251182110536819,2013-04-22
3.09,0.3,351.02,7.81,13.35,8.28,1.94,74.75,0.014776948937059149,2013-04-23
1.39,0.13,365.63,12.69,16.07,9.71,13.04,83.38,0.08264197227520595,2013-04-24
3.34,0.32,383.2,7.83,19.14,3.98,1.3,58.94,0.00690948103453891,2013-04-25
7.39,0.7,334.99,5.62,20.19,3.5,0.19,47.75,0.0009571310884315482,2013-04-26
6.88,0.66,353.02,6.84,21.01,4.49,0.0,44.81,0.0,2013-04-27
5.61,0.53,362.87,8.84,21.67,4.18,0.63,48.0,0.0029662677291842883,2013-04-28
3.54,0.34,386.97,12.79,21.61,5.27,1.12,63.44,0.005289107632959743,2013-04-29
6.47,0.61,370.14,10.88,22.79,4.08,0.01,54.19,4.46930182354937e-05,2013-04-30
4.94,0.46,386.27,11.14,22.62,3.28,0.4,55.5,0.001799849690233918,2013-05-01
6.25,0.59,362.77,11.27,23.39,5.04,0.03,58.5,0.00013063288430847217,2013-05-02
7.17,0.67,352.29,11.39,22.57,6.8,0.35,59.44,0.001579421219009463,2013-05-03
7.4,0.69,345.75,9.9,21.51,6.94,0.25,58.62,0.0011838143719048132,2013-05-04
6.21,0.58,345.05,8.77,19.07,7.21,0.23,59.75,0.0012254130276425853,2013-05-05
8.04,0.74,311.16,5.68,20.8,3.48,0.0,47.81,0.0,2013-05-06
7.9,0.73,333.48,3.94,22.96,2.0,0.0,39.25,0.0,2013-05-07
6.8,0.62,364.06,6.07,24.87,3.49,0.0,37.69,0.0,2013-05-08
7.27,0.66,359.29,8.09,25.62,2.87,0.0,40.81,0.0,2013-05-09
7.79,0.71,366.62,8.29,27.16,2.54,0.0,40.31,0.0,2013-05-10
7.15,0.65,371.0,9.42,26.26,2.56,0.09,41.5,0.0003483094428231315,2013-05-11
7.55,0.69,341.26,8.44,21.76,3.12,0.08,49.0,0.0003733082744896572,2013-05-12
8.24,0.75,318.12,4.89,21.55,4.84,0.0,43.12,0.0,2013-05-13
5.7,0.52,363.36,7.17,21.11,3.44,0.02,45.25,9.632493415863491e-05,2013-05-14
3.67,0.33,381.3,10.2,22.16,4.19,0.31,48.5,0.0014294770725092954,2013-05-15
6.04,0.55,377.78,6.93,24.98,4.96,0.08,41.38,0.0003280411443090483,2013-05-16
7.85,0.7,349.43,9.43,23.34,4.07,0.0,54.81,0.0,2013-05-17
6.01,0.54,366.22,7.48,23.04,4.99,0.07,49.5,0.00030958497414592946,2013-05-18
7.91,0.71,347.28,7.88,22.69,4.95,0.03,51.56,0.00013424585700312283,2013-05-19
7.26,0.65,348.45,6.71,22.04,5.02,0.02,49.19,9.216518470756964e-05,2013-05-20
4.31,0.38,390.72,12.51,23.83,6.22,0.02,59.88,8.565847470916137e-05,2013-05-21
6.46,0.57,354.13,6.19,21.33,9.83,0.03,42.75,0.00014364451112219558,2013-05-22
7.39,0.66,342.77,4.74,22.19,5.11,0.01,42.12,4.5861057966049204e-05,2013-05-23
7.9,0.7,351.77,5.39,24.19,4.27,0.02,40.56,8.406901971704052e-05,2013-05-24
6.93,0.61,361.76,7.4,24.95,4.21,0.04,45.0,0.0001630079731761109,2013-05-25
7.96,0.7,342.73,8.8,23.94,3.63,0.63,49.94,0.0026725146832315377,2013-05-26
8.07,0.71,333.03,4.47,21.34,5.06,0.0,43.19,0.0,2013-05-27
7.81,0.69,342.54,6.71,22.08,5.39,0.0,45.81,0.0,2013-05-28
7.19,0.63,358.23,7.96,23.38,3.71,0.02,47.94,8.716653799733857e-05,2013-05-29
5.31,0.47,376.45,9.02,22.82,3.91,0.32,52.88,0.0014277040745981876,2013-05-30
7.48,0.66,347.43,7.87,22.2,3.11,0.12,54.19,0.000550141775018522,2013-05-31
6.54,0.57,353.4,6.4,20.99,4.52,1.31,48.81,0.006346665653979424,2013-06-01
8.51,0.74,327.5,3.09,23.06,3.68,0.0,35.69,0.0,2013-06-02
7.48,0.66,352.03,5.15,24.82,3.82,0.0,37.75,0.0,2013-06-03
8.34,0.73,345.56,6.73,24.79,4.19,3.79,41.12,0.015541477809942465,2013-06-04
6.54,0.57,369.53,8.64,23.42,3.75,0.0,50.12,0.0,2013-06-05
6.96,0.61,369.98,11.48,25.66,4.05,0.0,55.44,0.0,2013-06-06
8.14,0.71,356.91,7.34,24.97,5.18,0.0,42.62,0.0,2013-06-07
8.13,0.7,353.27,6.65,25.08,3.75,0.0,39.06,0.0,2013-06-08
8.07,0.7,351.02,8.71,24.63,5.82,0.0,44.69,0.0,2013-06-09
7.73,0.67,362.59,8.82,26.87,3.69,0.0,44.19,0.0,2013-06-10
8.49,0.73,349.55,6.24,26.35,3.54,0.0,37.75,0.0,2013-06-11
8.37,0.73,357.15,6.33,27.37,3.55,0.0,34.5,0.0,2013-06-12
8.44,0.73,361.27,7.24,27.33,4.17,0.0,35.88,0.0,2013-06-13
8.46,0.73,350.37,6.24,27.89,2.7,0.0,33.69,0.0,2013-06-14
8.3,0.72,368.09,7.19,29.16,2.85,0.0,35.25,0.0,2013-06-15
8.23,0.71,374.58,7.96,29.81,3.59,0.01,33.62,3.4067614210935406e-05,2013-06-16
8.09,0.7,378.52,8.51,30.76,4.08,0.0,35.19,0.0,2013-06-17
8.09,0.7,375.46,9.19,29.39,4.22,0.0,39.31,0.0,2013-06-18
7.85,0.68,377.48,9.13,27.65,4.83,0.0,43.38,0.0,2013-06-19
7.64,0.66,383.63,10.8,27.52,5.35,0.0,45.94,0.0,2013-06-20
7.8,0.68,382.53,10.06,28.26,4.7,0.0,41.75,0.0,2013-06-21
5.87,0.51,391.91,11.23,28.38,5.3,0.0,44.81,0.0,2013-06-22
7.78,0.67,380.22,9.85,28.12,7.0,0.08,40.06,0.00028898012055494655,2013-06-23
7.69,0.66,369.13,10.21,28.15,5.27,0.0,41.75,0.0,2013-06-24
8.09,0.7,363.66,8.59,29.01,3.96,0.01,38.31,3.497103759979305e-05,2013-06-25
7.9,0.69,360.56,7.94,28.86,3.04,0.0,36.5,0.0,2013-06-26
8.06,0.7,359.73,6.16,26.89,4.51,0.0,36.31,0.0,2013-06-27
6.7,0.59,377.55,7.62,27.26,2.59,0.02,39.12,7.443595106408036e-05,2013-06-28
7.98,0.7,351.08,7.37,26.27,5.69,0.0,37.25,0.0,2013-06-29
8.1,0.7,362.5,10.14,26.96,3.88,0.0,48.44,0.0,2013-06-30
7.97,0.7,373.91,10.86,29.43,4.17,0.0,45.31,0.0,2013-07-01
6.51,0.57,393.02,10.19,31.84,2.34,0.45,34.62,0.0014356717604369583,2013-07-02
6.44,0.56,417.27,12.62,31.87,3.23,2.11,41.12,0.006726409861972458,2013-07-03
7.27,0.63,401.45,16.06,30.57,2.67,8.91,52.31,0.029607243025050453,2013-07-04
7.77,0.68,372.14,12.58,27.05,5.05,0.23,51.06,0.0008627922386676791,2013-07-05
8.1,0.71,360.11,11.55,26.47,5.12,0.02,49.5,7.662201684121993e-05,2013-07-06
8.04,0.7,367.58,11.15,28.6,3.66,0.1,42.5,0.0003546507106353057,2013-07-07
7.69,0.67,381.4,11.51,30.9,1.9,0.75,40.38,0.002462782673929529,2013-07-08
5.54,0.48,397.82,13.98,29.38,2.01,2.47,48.81,0.008536536117533402,2013-07-09
7.18,0.63,397.11,14.05,30.23,3.25,0.71,48.56,0.002388646489951365,2013-07-10
7.96,0.7,386.83,12.65,29.95,3.34,0.0,45.5,0.0,2013-07-11
7.62,0.67,404.16,11.75,31.65,2.97,0.0,38.62,0.0,2013-07-12
7.7,0.68,402.6,12.33,32.59,3.44,0.0,39.0,0.0,2013-07-13
7.61,0.67,401.85,11.26,32.25,3.48,0.07,35.5,0.0002206013729313858,2013-07-14
7.98,0.71,389.93,11.95,31.19,5.19,0.0,39.06,0.0,2013-07-15
7.97,0.71,393.8,12.57,32.74,2.66,0.0,40.0,0.0,2013-07-16
6.77,0.6,412.47,15.12,30.86,2.24,2.19,48.69,0.007201388088950545,2013-07-17
6.84,0.61,408.96,15.83,30.19,2.03,1.23,51.69,0.004135441245339822,2013-07-18
7.51,0.67,393.48,13.35,31.05,3.51,0.0,43.31,0.0,2013-07-19
6.67,0.59,406.48,12.7,31.85,2.96,0.0,41.69,0.0,2013-07-20
7.41,0.66,410.94,13.55,32.43,4.25,0.0,40.69,0.0,2013-07-21
7.21,0.65,409.84,14.7,33.32,3.73,1.18,44.19,0.003602454912027191,2013-07-22
7.6,0.69,394.93,12.94,31.75,3.84,0.04,40.56,0.0001281026511467849,2013-07-23
7.73,0.7,398.78,13.35,33.01,2.8,0.04,40.75,0.00012309209694654884,2013-07-24
7.62,0.69,408.16,14.31,33.37,2.66,0.0,43.88,0.0,2013-07-25
7.77,0.7,401.41,13.08,33.37,3.35,0.0,39.38,0.0,2013-07-26
7.76,0.7,407.09,12.3,33.83,2.95,0.0,37.31,0.0,2013-07-27
8.09,0.73,375.4,10.05,32.29,3.23,0.0,34.19,0.0,2013-07-28
7.88,0.72,392.5,7.44,32.82,2.3,0.0,26.5,0.0,2013-07-29
7.74,0.71,387.81,12.59,33.87,4.45,0.0,35.5,0.0,2013-07-30
8.13,0.75,368.49,10.05,30.59,5.73,0.0,37.81,0.0,2013-07-31
7.9,0.73,374.09,13.05,29.75,4.47,0.0,48.12,0.0,2013-08-01
7.87,0.73,376.62,13.52,30.22,3.65,0.0,48.94,0.0,2013-08-02
7.67,0.71,380.92,13.96,31.04,2.82,0.0,48.5,0.0,2013-08-03
7.66,0.71,380.16,12.39,30.94,2.5,0.0,45.06,0.0,2013-08-04
7.63,0.71,387.91,9.13,31.85,2.55,0.0,33.5,0.0,2013-08-05
7.77,0.73,379.92,5.73,32.64,2.99,0.0,25.12,0.0,2013-08-06
7.89,0.74,371.41,5.2,31.0,2.88,0.0,26.0,0.0,2013-08-07
7.34,0.69,391.54,5.19,31.48,3.89,0.0,23.69,0.0,2013-08-08
6.92,0.66,391.03,12.66,31.14,4.74,0.01,41.25,3.261425669559322e-05,2013-08-09
7.43,0.7,369.43,11.3,28.2,7.09,0.0,45.12,0.0,2013-08-10
7.71,0.73,367.23,10.02,29.08,4.16,0.0,44.56,0.0,2013-08-11
7.51,0.72,386.05,13.3,31.71,2.45,0.0,46.88,0.0,2013-08-12
7.17,0.69,404.88,13.51,32.46,2.92,0.0,44.0,0.0,2013-08-13
6.36,0.61,391.33,16.26,29.8,2.3,6.21,55.38,0.02118385356007173,2013-08-14
7.4,0.71,371.67,11.55,29.62,2.22,0.0,42.88,0.0,2013-08-15
7.51,0.73,367.21,12.72,30.66,2.11,0.0,45.88,0.0,2013-08-16
6.15,0.6,402.59,16.64,30.1,2.09,0.12,56.62,0.00040487265633009343,2013-08-17
